date,old_sql_swe_mm,old_zonal_area_m2,old_zonal_mean_swe_mm,new_area_m2,new_mean_swe_mm,new_zonal_weighted_mean_swe_mm
2023-10-01,0.011769637559654333,19094472001.5,0.09371979311529532,19111977644.75,0.09358790130345969,0.09348467443547342
2023-10-02,0.008093641171159554,19094472001.5,0.08367414821390143,19111977644.75,0.0835624962558111,0.08347032734669503
2023-10-03,0.004062943376757385,19094472001.5,0.07229705630897408,19111977644.75,0.07221998264176772,0.07214032445400734
2023-10-04,0.00032245582355217337,19094472001.5,0.018500737654691804,19111977644.75,0.01851088896247046,0.01849047156807841
2023-10-05,0.0,19094472001.5,0.002489381047150169,19111977644.75,0.0024820505158173333,0.0024793128296702665
2023-10-06,0.0,19094472001.5,0.0006465581000626468,19111977644.75,0.0006434258215846116,0.0006427161269401265
2023-10-07,0.0,19094472001.5,0.0,19111977644.75,0.0,0.0
2023-10-08,0.0,19094472001.5,0.0,19111977644.75,0.0,0.0
2023-10-09,0.0,19094472001.5,0.0,19111977644.75,0.0,0.0
2023-10-10,0.0,19094472001.5,0.00038796793721926874,19111977644.75,0.0003881751418841338,0.00038774698713796746
2023-10-11,0.4866825744872957,19094472001.5,0.37944000477831874,19111977644.75,0.37940766823731725,0.38112367567280786
2023-10-12,1.020443699213209,19094472001.5,0.8162034295836654,19111977644.75,0.8151847707347647,0.8178404121257052
2023-10-13,0.5050625564297666,19094472001.5,0.5628418482111054,19111977644.75,0.5616647947270779,0.5622216526520336
2023-10-14,0.2497742809235125,19094472001.5,0.43527788785046845,19111977644.75,0.4343283835670053,0.434212538016134
2023-10-15,0.07123049142267494,19094472001.5,0.30006913873872965,19111977644.75,0.29940433645716796,0.29908462828188787
2023-10-16,0.0004514381529730427,19094472001.5,0.12539801373018025,19111977644.75,0.12515986998517883,0.12502181943381274
2023-10-17,0.0,19094472001.5,0.030573399601452743,19111977644.75,0.03053658883941914,0.030502907173509605
2023-10-18,0.0,19094472001.5,0.016531235177130295,19111977644.75,0.01651576227685116,0.016497545494676323
2023-10-19,0.0,19094472001.5,0.005013625790521513,19111977644.75,0.005009123300027571,0.005003598268453861
2023-10-20,0.0,19094472001.5,0.0011314767329164322,19111977644.75,0.0011326500642209521,0.0011314007583061324
2023-10-21,0.0,19094472001.5,0.0006465581000626468,19111977644.75,0.0006472286156092562,0.0006465147265068198
2023-10-22,0.0,19094472001.5,0.0004202627904757125,19111977644.75,0.00042069861324126273,0.00042023458531023503
2023-10-23,0.0,19094472001.5,0.0004202627904757125,19111977644.75,0.00042069861324126273,0.00042023458531023503
2023-10-24,0.0,19094472001.5,0.0003232790500313234,19111977644.75,0.0003236143078046281,0.0003232573632534099
2023-10-25,0.23352250741648298,19094472001.5,1.0761781898766045,19111977644.75,1.073140683641531,1.077499881644135
2023-10-26,3.9894879401523275,19094472001.5,7.148069146178063,19111977644.75,7.136776529236174,7.1537965089217925
2023-10-27,4.070166387205076,19094472001.5,7.071813304451308,19111977644.75,7.060649477052426,7.077820585615695
2023-10-28,3.8610215400491112,19094472001.5,6.916830425327113,19111977644.75,6.905755489114697,6.922951126932032
2023-10-29,3.4997420353412534,19094472001.5,6.521454359779316,19111977644.75,6.510564118499394,6.527449313415456
2023-10-30,2.86656778021415,19094472001.5,5.59567468210383,19111977644.75,5.584372091161235,5.601183716371439
2023-10-31,2.2623500580420752,19094472001.5,4.349305364391162,19111977644.75,4.338442928763021,4.354879474606686
2023-11-01,1.7176576808977342,19094472001.5,3.140737611836346,19111977644.75,3.1322579890954,3.146576570193538
2023-11-02,0.7514510512059898,19094472001.5,1.6593495971365526,19111977644.75,1.654898222653896,1.6635550947121291
2023-11-03,0.00206371727073391,19094472001.5,0.03643923202518227,19111977644.75,0.0364376106133147,0.036447138224313926
2023-11-04,0.0,19094472001.5,0.015363261209267235,19111977644.75,0.015309659631072958,0.015292773172549574
2023-11-05,0.025054817490003888,19094472001.5,0.04123367207066208,19111977644.75,0.041160666403521465,0.041115266446712026
2023-11-06,0.05546240165097375,19094472001.5,0.10406825950756834,19111977644.75,0.10396369900676723,0.10392586778738593
2023-11-07,3.4749451825100333,19094472001.5,2.13970708992458,19111977644.75,2.140753506859598,2.1549884465532343
2023-11-08,3.657906616793538,19094472001.5,2.8889523403937893,19111977644.75,2.887814010843394,2.9052204636309344
2023-11-09,3.514800722301082,19094472001.5,2.791275116424083,19111977644.75,2.790141488972979,2.807346972495706
2023-11-10,3.370953179414456,19094472001.5,2.719956523415043,19111977644.75,2.7182304661549295,2.7352353905839677
2023-11-11,3.3816264671740353,19094472001.5,2.7987522353039944,19111977644.75,2.7966097034208923,2.814376963353251
2023-11-12,3.1962788597962435,19094472001.5,2.5502230412621825,19111977644.75,2.5485328892508172,2.565503951652207
2023-11-13,2.9439249322842973,19094472001.5,2.2864711469909267,19111977644.75,2.285189561611244,2.300513625206476
2023-11-14,2.937572552560321,19094472001.5,2.321130817553262,19111977644.75,2.3199419070849427,2.3352476132077977
2023-11-15,2.8543144589191467,19094472001.5,2.1034521947927143,19111977644.75,2.102497547173849,2.1156888626058077
2023-11-16,2.5605894492454686,19094472001.5,1.671891669845919,19111977644.75,1.6717042496863252,1.6807442252665694
2023-11-17,2.37766026054431,19094472001.5,1.496566185508641,19111977644.75,1.496530343419571,1.5040574968572145
2023-11-18,2.0006771572294597,19094472001.5,1.2871413621314387,19111977644.75,1.2867726936943766,1.292392679014836
2023-11-19,3.1246291758030003,19094472001.5,1.4445093701691236,19111977644.75,1.4435609584120361,1.4490959534303183
